,OBJECTID,Positivas,Negativas,TOTALES,XCOORD,YCOORD,CONTROL,GlobalID
0,1,2100,8197,10297,526296.889053,932307.407911,0,82e46f3f-d34d-4ce4-8c58-41ac816defb3
1,2,2249,8432,10681,526296.889053,932307.407911,0,f44cc44b-d470-4f19-8299-3f361056339d
2,3,2528,9113,11776,526296.889053,932307.407911,0,63aa5c9a-9d38-4738-9eb8-95113010fc15
3,4,2752,9700,12583,526296.889053,932307.407911,0,8e3313b8-1da4-44a6-b542-5b5025ed1646
4,5,2974,10524,13648,526296.889053,932307.407911,0,f9a7e988-efff-474a-bb9e-7255ecd4196a
5,6,3234,11198,14588,526296.889053,932307.407911,156,fe060584-eea8-4242-aaa2-a43b56fcdf4a
6,7,3400,11585,15147,526296.889053,932307.407911,162,27e6a0ad-86ec-4c0e-9c4e-07c5d749d278
7,8,3472,11925,15567,526296.889053,932307.407911,170,4b2b2dee-dbb3-4496-a028-9662298135bc
8,9,3574,12309,16053,526296.889053,932307.407911,170,c8060698-06d6-4373-bd54-7ac4a6b95832
9,10,3751,12917,16854,526296.889053,932307.407911,186,06ca31f8-3e8b-437f-b360-054d2001b38a
10,11,4016,13614,17850,526296.889053,932307.407911,220,8d010519-645b-4e5d-9b33-f39de1cebc09
11,12,4210,14131,18559,526296.889053,932307.407911,218,b9f327dc-cd56-4ea7-ae19-997282745ce2
12,13,4273,14564,19091,526296.889053,932307.407911,254,1431ef1b-f3e8-465d-9889-2a7b10b83cdb
13,14,4467,15384,20137,526296.889053,932307.407911,286,6a63548e-5240-45a5-93b7-9056346e0a1c
14,15,4658,16023,20996,526296.889053,932307.407911,315,563abf0b-12b9-495a-bc9c-ae6987ff9c2a
15,17,4821,16731,21902,526296.889053,932307.407911,350,d48955ff-ccb6-4ba6-a6f2-e17429246893
16,18,4992,17710,22702,526296.889053,932307.407911,314,cf183f99-f63d-4ec1-afb3-f422a7eadc77
