name,url,description,datePublished,imagen,pais,Fuente
Se registran 682 casos nuevos de Covid-19 y 17 defunciones,https://www.prensa.com/sociedad/se-registran-682-casos-nuevos-de-covid-19-y-17-defunciones/,"El Ministerio de Salud (Minsa) informó este viernes, 4 de septiembre, que en las últimas horas se registraron en el país 682 casos nuevos de Covid-19 y 17 nuevas defunciones. De acuerdo con el informe",04-09-2020 23:38,https://www.bing.com/th?id=ON.3F1E1D1A46426AD653A865BE105C7E17,Panamá,prensa.com
Verifican protocolos de salud y bioseguridad en Cobre Panamá,https://ensegundos.com.pa/2020/09/04/verifican-protocolos-de-salud-y-bioseguridad-en-cobre-panama/,Dentro de la primera fase de apertura gradual autorizada por el Ministerio de Salud (MINSA) al citado proyecto minero se le autorizó el ingreso tras la reactivación de los contratos laborales de unos,05-09-2020 01:47,https://www.bing.com/th?id=ON.BDDB6EF8972E1A97C332C739D3B449C8,Panamá,En Segundos
Panamá reportó un total de 68 muertes por la COVID-19 esta semana,https://www.panamaamerica.com.pa/sociedad/panama-reporto-un-total-de-68-muertes-por-la-covid-19-esta-semana-1171441,"Entre el lunes y viernes de esta semana, Panamá reportó un total de 68 muertes por la COVID-19, para un total de 2,063 defunciones desde que se confirmó el primer caso en el mes de marzo. Versión impr",05-09-2020 05:24,https://www.bing.com/th?id=ON.D07ABB886E17F497BC7311FF2B771E09,Panamá,panamaamerica.com.pa
ONPAR rechazó 326 solicitudes de refugio a extranjeros en Panamá,https://www.panamaamerica.com.pa/sociedad/onpar-rechazo-326-solicitudes-de-refugio-extranjeros-en-panama-1171426,"La Oficina Nacional Para la Atención de Refugiados (ONPAR) de Panamá, durante el mes de julio pasado, rechazó 326 solicitudes de personas extranjeras que pidieron ser considerados bajo esta condición.",05-09-2020 05:24,https://www.bing.com/th?id=ON.C4F6EDC4ECDFF3AD87C49CE605853DBE,Panamá,panamaamerica.com.pa
Panamá alcanza 95 mil contagios de covid-19,http://elsiglo.com.pa/panama/panama-alcanza-95-contagios-covid-19/24163559,"El Ministerio de Salud de Panamá  informó que al corte de hoy se registraron 682 nuevos casos de covid-19, con estos el país alcanzó  los 95,596 casos acumulados. En tanto se han reportado 17 nuevas m",05-09-2020 05:30,https://www.bing.com/th?id=ON.C4C2C1942A9BE7DF2A87CF119783452D,Panamá,El Siglo
Presidente Cortizo asegura que se entra en una etapa importante por reaperturas,https://www.diaadia.com.pa/el-pais/presidente-cortizo-asegura-que-se-entra-en-una-etapa-importante-por-reaperturas-370021,"El presidente de la República, Laurentino Cortizo Cohen; el ministro de Salud, Luis Francisco Sucre y el viceministro de Seguridad, Ivor Pittí, se reunieron este viernes con el Equipo Unificado de Tra",05-09-2020 05:52,https://www.bing.com/th?id=ON.3D7AECB5E519AAEDD031CE95F04FA8AB,Panamá,Día a Día
Panamá reporta 682 nuevos casos de COVID-19 y supera los 95 mil contagios,https://www.telemetro.com/nacionales/2020/09/04/panama-reporta-682-nuevos-casos-de-covid-19-y-supera-los-95-mil-contagios/3200993.html,"En las últimas horas se realizaron 5,100 nuevas pruebas para detectar COVID-19 para un 13.4% de positividad. De acuerdo con el informe epidemiológico del Minsa de este viernes 4 de septiembre, hay un",05-09-2020 14:29,https://www.bing.com/th?id=ON.4D070CA1145EDB232CE29B9823FDAE06,Panamá,Telemetro
Empresa española de Slim enfrenta obstáculos en Panamá por hospital inconcluso,https://www.metrolibre.com/nacionales/181072-empresa-espa%C3%B1ola-de-slim-enfrenta-obst%C3%A1culos-en-panam%C3%A1-por-hospital-inconcluso.html,"Panamá y la constructora española FCC, propiedad del magnate mexicano Carlos Slim, libran una batalla por la construcción de un megahospital, cuyas obras llevan detenidas cinco años, en medio de grave",05-09-2020 15:15,https://www.bing.com/th?id=ON.BCE563F8C7455A4EC782DD6ED972E737,Panamá,Metro Libre
"Panamá registra 95,596 personas contagiadas de Covid-19 y 68,742 recuperadas",https://www.metrolibre.com/nacionales/181091-panam%C3%A1-registra-95596-personas-contagiadas-de-covid-19-y-68742-recuperadas.html,"Para este viernes, 4 de septiembre, el Ministerio de Salud (Minsa) detalló que se detectaron 682 nuevos casos positivos de Covid-19, para un total acumulado de 95,596. Mientras tanto, se contabilizaro",05-09-2020 15:15,https://www.bing.com/th?id=ON.DE93A0843EC281F84EEF0545413A6F67,Panamá,Metro Libre
Protestas contra las restricciones contra la COVID-19 en Melbourne,http://www.nexpanama.com/protestas-contra-las-restricciones-contra-la-covid-19-en-melbourne/,La policía arrestó al menos a 17 personas durante enfrentamientos en Melbourne con unos 300 manifestantes que protestaban contra las restricciones impuestas desde julio en el estado de Victoria para c,05-09-2020 15:54,https://www.bing.com/th?id=ON.18A8BCCC0C49E982996DAF49131A8AC0,Panamá,NEX TV
