Código del Corregimiento,Corregimiento,Fecha,Casos Confirmados,Nuevos Fallecidos,Nuevos Recuperados,Poblacion,Nuevos Confirmados acum,Nuevos Recuperados acum,Susceptibles,pob_log_Susceptibles,r0
10101,Bocas del Toro (Cabecera),2020-06-14,2.0,0.0,0.0,2906,20.0,4.0,2882.0,23149.89279068181,-0.
10101,Bocas del Toro (Cabecera),2020-06-15,0.0,0.0,0.0,2906,20.0,4.0,2882.0,23149.89279068181,-0.
10101,Bocas del Toro (Cabecera),2020-06-16,2.0,0.0,0.0,2906,22.0,4.0,2880.0,23147.87543551576,-0.
10101,Bocas del Toro (Cabecera),2020-06-17,0.0,0.0,0.0,2906,22.0,4.0,2880.0,23147.87543551576,-0.
10101,Bocas del Toro (Cabecera),2020-06-18,7.0,0.0,0.0,2906,29.0,4.0,2873.0,23140.803643393814,-0.
10101,Bocas del Toro (Cabecera),2020-06-19,2.0,0.0,0.0,2906,31.0,4.0,2871.0,23138.77996643181,-0.
10101,Bocas del Toro (Cabecera),2020-06-20,4.0,0.0,0.0,2906,35.0,4.0,2867.0,23134.72837985707,-0.
10101,Bocas del Toro (Cabecera),2020-06-21,0.0,0.0,0.0,2906,35.0,4.0,2867.0,23134.72837985707,-0.
10101,Bocas del Toro (Cabecera),2020-06-22,0.0,0.0,0.0,2906,35.0,4.0,2867.0,23134.72837985707,-0.
10101,Bocas del Toro (Cabecera),2020-06-23,0.0,0.0,0.0,2906,35.0,4.0,2867.0,23134.72837985707,-0.
10101,Bocas del Toro (Cabecera),2020-06-24,6.0,0.0,1.0,2906,41.0,5.0,2860.0,23127.62448248319,14.73391097
10101,Bocas del Toro (Cabecera),2020-06-25,1.0,0.0,0.0,2906,42.0,5.0,2859.0,23126.608220888636,15.24204177
10101,Bocas del Toro (Cabecera),2020-06-26,0.0,0.0,0.0,2906,42.0,5.0,2859.0,23126.608220888636,15.4114187
10101,Bocas del Toro (Cabecera),2020-06-27,0.0,0.0,0.0,2906,42.0,5.0,2859.0,23126.608220888636,15.49610717
10101,Bocas del Toro (Cabecera),2020-06-28,6.0,0.0,9.0,2906,48.0,14.0,2844.0,23111.321494422617,3.17122351
10101,Bocas del Toro (Cabecera),2020-06-29,0.0,0.0,0.0,2906,48.0,14.0,2844.0,23111.321494422617,2.98370799
10101,Bocas del Toro (Cabecera),2020-06-30,0.0,0.0,0.0,2906,48.0,14.0,2844.0,23111.321494422617,2.91992839
10101,Bocas del Toro (Cabecera),2020-07-01,5.0,2.0,0.0,2906,53.0,14.0,2839.0,23106.207996710455,3.01785871
10101,Bocas del Toro (Cabecera),2020-07-02,0.0,0.0,1.0,2906,53.0,15.0,2838.0,23105.184216534286,3.03774486
10101,Bocas del Toro (Cabecera),2020-07-03,1.0,0.0,0.0,2906,54.0,15.0,2837.0,23104.160075554522,3.06848641
10101,Bocas del Toro (Cabecera),2020-07-04,0.0,0.0,0.0,2906,54.0,15.0,2837.0,23104.160075554522,3.08948168
10101,Bocas del Toro (Cabecera),2020-07-05,7.0,0.0,0.0,2906,61.0,15.0,2830.0,23096.980964791943,3.19815042
10101,Bocas del Toro (Cabecera),2020-07-06,1.0,0.0,0.0,2906,62.0,15.0,2829.0,23095.953928202358,3.29241614
10101,Bocas del Toro (Cabecera),2020-07-07,2.0,0.0,6.0,2906,64.0,21.0,2821.0,23087.724542171803,3.22277266
10101,Bocas del Toro (Cabecera),2020-07-08,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.18018535
10101,Bocas del Toro (Cabecera),2020-07-09,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.15145192
10101,Bocas del Toro (Cabecera),2020-07-10,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.13075799
10101,Bocas del Toro (Cabecera),2020-07-11,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.11514353
10101,Bocas del Toro (Cabecera),2020-07-12,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.10294279
10101,Bocas del Toro (Cabecera),2020-07-13,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.09314659
10101,Bocas del Toro (Cabecera),2020-07-14,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.08510786
10101,Bocas del Toro (Cabecera),2020-07-15,0.0,0.0,0.0,2906,64.0,21.0,2821.0,23087.724542171803,3.07839259
10101,Bocas del Toro (Cabecera),2020-07-16,24.0,1.0,22.0,2906,88.0,43.0,2775.0,23039.947912080635,2.83562047
10101,Bocas del Toro (Cabecera),2020-07-17,10.0,0.0,0.0,2906,98.0,43.0,2765.0,23029.456925957402,2.81426579
10101,Bocas del Toro (Cabecera),2020-07-18,2.0,0.0,1.0,2906,100.0,44.0,2762.0,23026.302230514604,2.80416638
10101,Bocas del Toro (Cabecera),2020-07-19,5.0,1.0,2.0,2906,105.0,46.0,2755.0,23018.927928931866,2.80755702
10101,Bocas del Toro (Cabecera),2020-07-20,12.0,0.0,3.0,2906,117.0,49.0,2740.0,23003.062557404428,2.84744933
10101,Bocas del Toro (Cabecera),2020-07-21,0.0,0.0,0.0,2906,117.0,49.0,2740.0,23003.062557404428,2.87446586
10101,Bocas del Toro (Cabecera),2020-07-22,0.0,0.0,0.0,2906,117.0,49.0,2740.0,23003.062557404428,2.89397413
10101,Bocas del Toro (Cabecera),2020-07-23,0.0,0.0,3.0,2906,117.0,52.0,2737.0,22999.879062472213,2.89095119
10101,Bocas del Toro (Cabecera),2020-07-24,0.0,0.0,0.0,2906,117.0,52.0,2737.0,22999.879062472213,2.88866741
10101,Bocas del Toro (Cabecera),2020-07-25,0.0,0.0,0.0,2906,117.0,52.0,2737.0,22999.879062472213,2.88688123
10101,Bocas del Toro (Cabecera),2020-07-26,3.0,0.0,0.0,2906,120.0,52.0,2734.0,22996.692076227002,2.89315806
10101,Bocas del Toro (Cabecera),2020-07-27,0.0,0.0,7.0,2906,120.0,59.0,2727.0,22989.242154549283,2.86586807
10101,Bocas del Toro (Cabecera),2020-07-28,5.0,0.0,0.0,2906,125.0,59.0,2722.0,22983.909064412357,2.85683415
