Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
"Panamá recibe la donación de B/. 5.5 millones de balboas por parte del Gobierno de Japón, a través de… https://t.co/bwSrGT2USz",https://twitter.com/i/web/status/1275146131752783873,22/06/2020 13:18:23,Twitter for Android,300,111,Ministerio de Salud de Panamá,13:18:23,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
"Comunidades de Guna Yala reciben atención y orientación constante sobre las medidas de higiene y prevención, por pa… https://t.co/1W3cTGFIxQ",https://twitter.com/i/web/status/1275165421432381443,22/06/2020 14:35:02,Twitter for Android,44,22,Ministerio de Salud de Panamá,14:35:02,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
Comunicado N° 119 #UnPanamáMejor🇵🇦 #ProtégetePanamá https://t.co/8sN7cP6q3n,https://twitter.com/i/web/status/1275226039606747137,22/06/2020 18:35:55,Twitter for Android,92,74,Ministerio de Salud de Panamá,18:35:55,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
"Compartimos la actualización de datos sobre el #COVID19 en nuestro país.
Lunes 22 de junio de 2020. Parte 1.… https://t.co/bQFR52CCD9",https://twitter.com/i/web/status/1275232949332475909,22/06/2020 19:03:22,Twitter for Android,33,38,Ministerio de Salud de Panamá,19:03:22,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
"Compartimos la actualización de datos sobre el #COVID19 en nuestro país.
Lunes 22 de junio de 2020. Parte 2.… https://t.co/RYensjAtuk",https://twitter.com/i/web/status/1275232966097149952,22/06/2020 19:03:26,Twitter for Android,6,5,Ministerio de Salud de Panamá,19:03:26,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
"Desglose de defunciones. Lunes 22 de junio.
#ProtégetePanamá
#UnidosVenceremos https://t.co/7FiCiooktc",https://twitter.com/i/web/status/1275232984468160513,22/06/2020 19:03:30,Twitter for Android,17,18,Ministerio de Salud de Panamá,19:03:30,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
"Distribución de los casos de #COVID19 por provincias y comarcas. Lunes 22 de junio de 2020.
#ProtégetePanamá… https://t.co/c523dSnJe3",https://twitter.com/i/web/status/1275233001685889027,22/06/2020 19:03:34,Twitter for Android,19,15,Ministerio de Salud de Panamá,19:03:34,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
Desglose de corregimientos con más de 10 casos para el 22 de junio 2020. #UnMejorPanamá #ProtégetePanamá https://t.co/C0qEQsTILT,https://twitter.com/i/web/status/1275233759890214918,22/06/2020 19:06:35,Twitter for Android,65,45,Ministerio de Salud de Panamá,19:06:35,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
Si estás haciendo teletrabajo o trabajas desde una oficina recuerda mantener tu espacio limpio y desinfectado. Haz… https://t.co/4dHKELFlrt,https://twitter.com/i/web/status/1275427584759803904,23/06/2020 07:56:47,Twitter for Android,18,12,Ministerio de Salud de Panamá,07:56:47,http://pbs.twimg.com/profile_images/1240399297088311296/xVNaDRc6.jpg
"RT @UNOPS_es: #COVID19 #coronavirus | ¿Trabajas en una obra? Evita los apretones de manos, abrazos y demás formas de contacto cercano. 
➡️…",https://twitter.com/i/web/status/1275441088719777792,23/06/2020 08:50:26,Twitter for iPhone,0,6,OPS/OMS,08:50:26,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
